2026-05-10 23:58:43,124 [INFO] === UmaEdge Model Training ===
2026-05-10 23:58:43,124 [INFO] 🚫 ODDS-FREE MODE — excluding all odds-derived features
2026-05-10 23:58:43,124 [INFO] No cache found. Building features from scratch...
2026-05-10 23:58:43,124 [INFO] Loading race data...
2026-05-10 23:59:46,334 [INFO] Loaded 196764 entries across 14300 races
2026-05-10 23:59:46,353 [INFO] Loading full history for rolling features...
2026-05-11 00:00:22,786 [INFO] Pre-indexing history for fast lookups...
2026-05-11 00:00:23,480 [INFO] Indexed: 36660 horses, 822 jockeys, 777 trainers, 10 courses
2026-05-11 00:00:23,480 [INFO] Building features for 196764 entries...
2026-05-11 00:01:09,647 [INFO] Pre-building point-in-time speed baseline index...
2026-05-11 00:01:10,008 [INFO] Speed baseline index built: 320 (course, dist, going) combos
2026-05-11 00:43:28,065 [INFO]   [56,000/196,764] 28% | 22 entries/s | ETA 6497s
2026-05-11 00:44:15,523 [INFO]   [57,000/196,764] 29% | 22 entries/s | ETA 6454s
2026-05-11 00:45:02,829 [INFO]   [58,000/196,764] 29% | 22 entries/s | ETA 6410s
2026-05-11 00:45:49,133 [INFO]   [59,000/196,764] 30% | 22 entries/s | ETA 6364s
2026-05-11 00:46:35,473 [INFO]   [60,000/196,764] 30% | 22 entries/s | ETA 6318s
2026-05-11 00:47:22,240 [INFO]   [61,000/196,764] 31% | 22 entries/s | ETA 6274s
2026-05-11 00:48:07,997 [INFO]   [62,000/196,764] 32% | 22 entries/s | ETA 6226s
2026-05-11 00:48:54,913 [INFO]   [63,000/196,764] 32% | 22 entries/s | ETA 6182s
2026-05-11 00:49:41,979 [INFO]   [64,000/196,764] 33% | 22 entries/s | ETA 6137s
2026-05-11 00:50:27,744 [INFO]   [65,000/196,764] 33% | 22 entries/s | ETA 6090s
2026-05-11 00:51:14,653 [INFO]   [66,000/196,764] 34% | 22 entries/s | ETA 6045s
2026-05-11 00:52:04,827 [INFO]   [67,000/196,764] 34% | 22 entries/s | ETA 6007s
