2026-05-10 20:10:06,852 [INFO] Loading race data...
2026-05-10 20:11:12,218 [INFO] Loaded 196764 entries across 14300 races
2026-05-10 20:11:12,257 [INFO] Loading horse/jockey history for rolling features...
2026-05-10 20:11:45,522 [INFO] Pre-indexing history for fast lookups...
2026-05-10 20:11:46,896 [INFO] Indexed: 36660 horses, 822 jockeys, 777 trainers, 10 courses
2026-05-10 20:11:46,896 [INFO] Building features for 196764 entries...
2026-05-10 20:12:24,801 [INFO] Pre-building point-in-time speed baseline index...
2026-05-10 20:12:25,362 [INFO] Speed baseline index built: 320 (course, dist, going) combos
2026-05-10 20:47:30,701 [INFO]   [58,000/196,764] 29% | 27 entries/s | ETA 5129s
2026-05-10 20:48:08,622 [INFO]   [59,000/196,764] 30% | 27 entries/s | ETA 5094s
2026-05-10 20:48:48,356 [INFO]   [60,000/196,764] 30% | 27 entries/s | ETA 5064s
2026-05-10 20:49:26,221 [INFO]   [61,000/196,764] 31% | 27 entries/s | ETA 5028s
2026-05-10 20:50:04,177 [INFO]   [62,000/196,764] 32% | 27 entries/s | ETA 4993s
2026-05-10 20:50:44,243 [INFO]   [63,000/196,764] 32% | 27 entries/s | ETA 4963s
2026-05-10 20:51:22,449 [INFO]   [64,000/196,764] 33% | 27 entries/s | ETA 4928s
2026-05-10 20:52:01,816 [INFO]   [65,000/196,764] 33% | 27 entries/s | ETA 4895s
2026-05-10 20:52:43,104 [INFO]   [66,000/196,764] 34% | 27 entries/s | ETA 4866s
2026-05-10 20:53:22,610 [INFO]   [67,000/196,764] 34% | 27 entries/s | ETA 4834s
2026-05-10 20:54:02,091 [INFO]   [68,000/196,764] 35% | 27 entries/s | ETA 4801s
2026-05-10 20:54:43,276 [INFO]   [69,000/196,764] 35% | 27 entries/s | ETA 4771s
2026-05-10 20:55:22,859 [INFO]   [70,000/196,764] 36% | 27 entries/s | ETA 4737s
2026-05-10 20:56:02,382 [INFO]   [71,000/196,764] 36% | 27 entries/s | ETA 4704s
2026-05-10 20:56:43,797 [INFO]   [72,000/196,764] 37% | 27 entries/s | ETA 4673s
2026-05-10 20:57:24,099 [INFO]   [73,000/196,764] 37% | 27 entries/s | ETA 4641s
2026-05-10 20:58:06,432 [INFO]   [74,000/196,764] 38% | 27 entries/s | ETA 4611s
2026-05-10 20:58:47,695 [INFO]   [75,000/196,764] 38% | 27 entries/s | ETA 4580s
2026-05-10 20:59:28,983 [INFO]   [76,000/196,764] 39% | 27 entries/s | ETA 4548s
2026-05-10 21:00:11,727 [INFO]   [77,000/196,764] 39% | 27 entries/s | ETA 4518s
2026-05-10 21:00:52,654 [INFO]   [78,000/196,764] 40% | 26 entries/s | ETA 4485s
2026-05-10 21:01:33,529 [INFO]   [79,000/196,764] 40% | 26 entries/s | ETA 4452s
2026-05-10 21:02:16,397 [INFO]   [80,000/196,764] 41% | 26 entries/s | ETA 4422s
2026-05-10 21:02:57,568 [INFO]   [81,000/196,764] 41% | 26 entries/s | ETA 4389s
2026-05-10 21:03:38,843 [INFO]   [82,000/196,764] 42% | 26 entries/s | ETA 4355s
2026-05-10 21:04:21,943 [INFO]   [83,000/196,764] 42% | 26 entries/s | ETA 4324s
2026-05-10 21:05:03,740 [INFO]   [84,000/196,764] 43% | 26 entries/s | ETA 4292s
2026-05-10 21:05:45,911 [INFO]   [85,000/196,764] 43% | 26 entries/s | ETA 4259s
2026-05-10 21:06:28,326 [INFO]   [86,000/196,764] 44% | 26 entries/s | ETA 4226s
2026-05-10 21:07:09,218 [INFO]   [87,000/196,764] 44% | 26 entries/s | ETA 4192s
2026-05-10 21:07:50,276 [INFO]   [88,000/196,764] 45% | 26 entries/s | ETA 4157s
2026-05-10 21:08:31,801 [INFO]   [89,000/196,764] 45% | 26 entries/s | ETA 4123s
2026-05-10 21:09:10,974 [INFO]   [90,000/196,764] 46% | 26 entries/s | ETA 4086s
2026-05-10 21:09:50,339 [INFO]   [91,000/196,764] 46% | 26 entries/s | ETA 4049s
2026-05-10 21:10:31,650 [INFO]   [92,000/196,764] 47% | 26 entries/s | ETA 4014s
2026-05-10 21:11:11,718 [INFO]   [93,000/196,764] 47% | 26 entries/s | ETA 3977s
2026-05-10 21:11:51,819 [INFO]   [94,000/196,764] 48% | 26 entries/s | ETA 3941s
2026-05-10 21:12:33,965 [INFO]   [95,000/196,764] 48% | 26 entries/s | ETA 3907s
2026-05-10 21:13:14,188 [INFO]   [96,000/196,764] 49% | 26 entries/s | ETA 3870s
2026-05-10 21:13:54,418 [INFO]   [97,000/196,764] 49% | 26 entries/s | ETA 3834s
2026-05-10 21:14:35,027 [INFO]   [98,000/196,764] 50% | 26 entries/s | ETA 3798s
2026-05-10 21:15:18,324 [INFO]   [99,000/196,764] 50% | 26 entries/s | ETA 3764s
2026-05-10 21:15:59,964 [INFO]   [100,000/196,764] 51% | 26 entries/s | ETA 3728s
2026-05-10 21:16:41,165 [INFO]   [101,000/196,764] 51% | 26 entries/s | ETA 3692s
2026-05-10 21:17:24,343 [INFO]   [102,000/196,764] 52% | 26 entries/s | ETA 3658s
2026-05-10 21:18:05,523 [INFO]   [103,000/196,764] 52% | 26 entries/s | ETA 3622s
2026-05-10 21:18:47,699 [INFO]   [104,000/196,764] 53% | 26 entries/s | ETA 3586s
2026-05-10 21:19:30,799 [INFO]   [105,000/196,764] 53% | 26 entries/s | ETA 3552s
2026-05-10 21:20:12,182 [INFO]   [106,000/196,764] 54% | 26 entries/s | ETA 3515s
2026-05-10 21:20:53,427 [INFO]   [107,000/196,764] 54% | 26 entries/s | ETA 3479s
2026-05-10 21:21:37,306 [INFO]   [108,000/196,764] 55% | 26 entries/s | ETA 3444s
2026-05-10 21:22:19,421 [INFO]   [109,000/196,764] 55% | 26 entries/s | ETA 3408s
2026-05-10 21:23:01,827 [INFO]   [110,000/196,764] 56% | 26 entries/s | ETA 3372s
2026-05-10 21:23:43,898 [INFO]   [111,000/196,764] 56% | 26 entries/s | ETA 3336s
2026-05-10 21:24:27,959 [INFO]   [112,000/196,764] 57% | 26 entries/s | ETA 3301s
2026-05-10 21:25:09,762 [INFO]   [113,000/196,764] 57% | 26 entries/s | ETA 3264s
2026-05-10 21:25:51,119 [INFO]   [114,000/196,764] 58% | 26 entries/s | ETA 3227s
2026-05-10 21:26:33,055 [INFO]   [115,000/196,764] 58% | 26 entries/s | ETA 3190s
2026-05-10 21:27:13,740 [INFO]   [116,000/196,764] 59% | 26 entries/s | ETA 3152s
2026-05-10 21:27:54,546 [INFO]   [117,000/196,764] 59% | 26 entries/s | ETA 3114s
2026-05-10 21:28:37,945 [INFO]   [118,000/196,764] 60% | 26 entries/s | ETA 3078s
2026-05-10 21:29:19,902 [INFO]   [119,000/196,764] 60% | 26 entries/s | ETA 3041s
2026-05-10 21:30:01,831 [INFO]   [120,000/196,764] 61% | 26 entries/s | ETA 3003s
2026-05-10 21:30:45,249 [INFO]   [121,000/196,764] 61% | 26 entries/s | ETA 2967s
2026-05-10 21:31:27,069 [INFO]   [122,000/196,764] 62% | 26 entries/s | ETA 2929s
2026-05-10 21:32:08,503 [INFO]   [123,000/196,764] 63% | 26 entries/s | ETA 2892s
2026-05-10 21:32:50,429 [INFO]   [124,000/196,764] 63% | 25 entries/s | ETA 2854s
2026-05-10 21:33:34,100 [INFO]   [125,000/196,764] 64% | 25 entries/s | ETA 2817s
2026-05-10 21:34:15,940 [INFO]   [126,000/196,764] 64% | 25 entries/s | ETA 2779s
2026-05-10 21:34:56,664 [INFO]   [127,000/196,764] 65% | 25 entries/s | ETA 2741s
2026-05-10 21:35:40,081 [INFO]   [128,000/196,764] 65% | 25 entries/s | ETA 2704s
2026-05-10 21:36:20,694 [INFO]   [129,000/196,764] 66% | 25 entries/s | ETA 2665s
2026-05-10 21:37:00,036 [INFO]   [130,000/196,764] 66% | 25 entries/s | ETA 2626s
2026-05-10 21:37:41,637 [INFO]   [131,000/196,764] 67% | 25 entries/s | ETA 2588s
2026-05-10 21:38:21,345 [INFO]   [132,000/196,764] 67% | 25 entries/s | ETA 2549s
2026-05-10 21:39:02,872 [INFO]   [133,000/196,764] 68% | 25 entries/s | ETA 2510s
2026-05-10 21:39:42,095 [INFO]   [134,000/196,764] 68% | 25 entries/s | ETA 2471s
2026-05-10 21:40:23,545 [INFO]   [135,000/196,764] 69% | 25 entries/s | ETA 2432s
2026-05-10 21:41:02,686 [INFO]   [136,000/196,764] 69% | 25 entries/s | ETA 2393s
2026-05-10 21:41:42,982 [INFO]   [137,000/196,764] 70% | 25 entries/s | ETA 2354s
2026-05-10 21:42:24,185 [INFO]   [138,000/196,764] 70% | 25 entries/s | ETA 2315s
2026-05-10 21:43:04,184 [INFO]   [139,000/196,764] 71% | 25 entries/s | ETA 2276s
2026-05-10 21:43:44,205 [INFO]   [140,000/196,764] 71% | 25 entries/s | ETA 2237s
2026-05-10 21:44:24,771 [INFO]   [141,000/196,764] 72% | 25 entries/s | ETA 2198s
2026-05-10 21:45:07,360 [INFO]   [142,000/196,764] 72% | 25 entries/s | ETA 2160s
2026-05-10 21:45:48,183 [INFO]   [143,000/196,764] 73% | 25 entries/s | ETA 2121s
2026-05-10 21:46:28,215 [INFO]   [144,000/196,764] 73% | 25 entries/s | ETA 2082s
2026-05-10 21:47:10,218 [INFO]   [145,000/196,764] 74% | 25 entries/s | ETA 2043s
2026-05-10 21:47:49,559 [INFO]   [146,000/196,764] 74% | 25 entries/s | ETA 2004s
2026-05-10 21:48:30,378 [INFO]   [147,000/196,764] 75% | 25 entries/s | ETA 1965s
2026-05-10 21:49:12,381 [INFO]   [148,000/196,764] 75% | 25 entries/s | ETA 1926s
2026-05-10 21:49:54,469 [INFO]   [149,000/196,764] 76% | 25 entries/s | ETA 1887s
2026-05-10 21:50:35,322 [INFO]   [150,000/196,764] 76% | 25 entries/s | ETA 1848s
2026-05-10 21:51:16,261 [INFO]   [151,000/196,764] 77% | 25 entries/s | ETA 1809s
2026-05-10 21:51:59,348 [INFO]   [152,000/196,764] 77% | 25 entries/s | ETA 1771s
2026-05-10 21:52:40,537 [INFO]   [153,000/196,764] 78% | 25 entries/s | ETA 1732s
2026-05-10 21:53:20,926 [INFO]   [154,000/196,764] 78% | 25 entries/s | ETA 1692s
2026-05-10 21:54:01,768 [INFO]   [155,000/196,764] 79% | 25 entries/s | ETA 1653s
2026-05-10 21:54:46,015 [INFO]   [156,000/196,764] 79% | 25 entries/s | ETA 1615s
2026-05-10 21:55:29,099 [INFO]   [157,000/196,764] 80% | 25 entries/s | ETA 1576s
2026-05-10 21:56:09,194 [INFO]   [158,000/196,764] 80% | 25 entries/s | ETA 1536s
2026-05-10 21:56:50,239 [INFO]   [159,000/196,764] 81% | 25 entries/s | ETA 1497s
2026-05-10 21:57:32,890 [INFO]   [160,000/196,764] 81% | 25 entries/s | ETA 1458s
2026-05-10 21:58:15,313 [INFO]   [161,000/196,764] 82% | 25 entries/s | ETA 1419s
2026-05-10 21:58:55,619 [INFO]   [162,000/196,764] 82% | 25 entries/s | ETA 1380s
2026-05-10 21:59:38,033 [INFO]   [163,000/196,764] 83% | 25 entries/s | ETA 1340s
2026-05-10 22:00:24,021 [INFO]   [164,000/196,764] 83% | 25 entries/s | ETA 1302s
2026-05-10 22:01:08,105 [INFO]   [165,000/196,764] 84% | 25 entries/s | ETA 1263s
2026-05-10 22:01:52,193 [INFO]   [166,000/196,764] 84% | 25 entries/s | ETA 1224s
2026-05-10 22:02:36,956 [INFO]   [167,000/196,764] 85% | 25 entries/s | ETA 1185s
2026-05-10 22:03:22,642 [INFO]   [168,000/196,764] 85% | 25 entries/s | ETA 1146s
2026-05-10 22:04:07,286 [INFO]   [169,000/196,764] 86% | 25 entries/s | ETA 1107s
2026-05-10 22:04:51,444 [INFO]   [170,000/196,764] 86% | 25 entries/s | ETA 1068s
2026-05-10 22:05:36,373 [INFO]   [171,000/196,764] 87% | 25 entries/s | ETA 1029s
2026-05-10 22:06:22,186 [INFO]   [172,000/196,764] 87% | 25 entries/s | ETA 990s
2026-05-10 22:07:04,393 [INFO]   [173,000/196,764] 88% | 25 entries/s | ETA 950s
2026-05-10 22:07:47,936 [INFO]   [174,000/196,764] 88% | 25 entries/s | ETA 911s
2026-05-10 22:08:31,400 [INFO]   [175,000/196,764] 89% | 25 entries/s | ETA 871s
2026-05-10 22:09:16,651 [INFO]   [176,000/196,764] 89% | 25 entries/s | ETA 832s
2026-05-10 22:10:00,203 [INFO]   [177,000/196,764] 90% | 25 entries/s | ETA 792s
2026-05-10 22:10:41,699 [INFO]   [178,000/196,764] 90% | 25 entries/s | ETA 752s
2026-05-10 22:11:29,106 [INFO]   [179,000/196,764] 91% | 25 entries/s | ETA 713s
2026-05-10 22:12:13,316 [INFO]   [180,000/196,764] 91% | 25 entries/s | ETA 673s
2026-05-10 22:12:46,199 [INFO]   [181,000/196,764] 92% | 25 entries/s | ETA 632s
2026-05-10 22:13:17,704 [INFO]   [182,000/196,764] 92% | 25 entries/s | ETA 591s
2026-05-10 22:13:50,572 [INFO]   [183,000/196,764] 93% | 25 entries/s | ETA 551s
2026-05-10 22:14:26,771 [INFO]   [184,000/196,764] 94% | 25 entries/s | ETA 511s
2026-05-10 22:15:02,043 [INFO]   [185,000/196,764] 94% | 25 entries/s | ETA 470s
2026-05-10 22:15:37,606 [INFO]   [186,000/196,764] 95% | 25 entries/s | ETA 430s
2026-05-10 22:16:18,083 [INFO]   [187,000/196,764] 95% | 25 entries/s | ETA 390s
2026-05-10 22:17:01,848 [INFO]   [188,000/196,764] 96% | 25 entries/s | ETA 350s
2026-05-10 22:17:37,332 [INFO]   [189,000/196,764] 96% | 25 entries/s | ETA 310s
2026-05-10 22:18:13,957 [INFO]   [190,000/196,764] 97% | 25 entries/s | ETA 270s
2026-05-10 22:18:50,655 [INFO]   [191,000/196,764] 97% | 25 entries/s | ETA 230s
2026-05-10 22:19:30,936 [INFO]   [192,000/196,764] 98% | 25 entries/s | ETA 190s
2026-05-10 22:20:09,171 [INFO]   [193,000/196,764] 98% | 25 entries/s | ETA 150s
2026-05-10 22:20:47,396 [INFO]   [194,000/196,764] 99% | 25 entries/s | ETA 110s
2026-05-10 22:21:24,981 [INFO]   [195,000/196,764] 99% | 25 entries/s | ETA 70s
2026-05-10 22:22:07,106 [INFO]   [196,000/196,764] 100% | 25 entries/s | ETA 30s
2026-05-10 22:22:52,597 [INFO] ✅ Built 196764 feature vectors with 277 columns in 7965.7s (25 entries/s)
Building features with corrected PIT logic...
Done. Shape: (196764, 277)
Date range: 2019-01-05 -> 2026-05-10
Saved to data/features.parquet
